;SIN_YEAR;SIN_WEEK;FIRST_DAY;CASES;IMPORTED
608;2012;37;2012-09-09;27;0
609;2012;38;2012-09-16;49;0
610;2012;39;2012-09-23;47;0
611;2012;40;2012-09-30;27;0
612;2012;41;2012-10-07;39;0
613;2012;42;2012-10-14;36;0
614;2012;43;2012-10-21;38;1
615;2012;44;2012-10-28;37;2
616;2012;45;2012-11-04;40;1
617;2012;46;2012-11-11;32;1
618;2012;47;2012-11-18;18;0
619;2012;48;2012-11-25;32;0
620;2012;49;2012-12-02;38;1
621;2012;50;2012-12-09;42;0
622;2012;51;2012-12-16;73;2
623;2012;52;2012-12-23;37;0
624;2012;53;2012-12-30;32;0
625;2013;1;2013-01-06;0;0
626;2013;2;2013-01-13;2;0
627;2013;3;2013-01-20;235;2
628;2013;4;2013-01-27;227;1
629;2013;5;2013-02-03;280;1
630;2013;6;2013-02-10;345;10
631;2013;7;2013-02-17;296;5
632;2013;8;2013-02-24;484;5
633;2013;9;2013-03-03;853;3
634;2013;10;2013-03-10;1462;19
635;2013;11;2013-03-17;2093;23
636;2013;12;2013-03-24;2803;19
637;2013;13;2013-03-31;2889;53
638;2013;14;2013-04-07;2523;54
639;2013;15;2013-04-14;2745;17
640;2013;16;2013-04-21;2580;1
641;2013;17;2013-04-28;2682;5
642;2013;18;2013-05-05;1922;5
643;2013;19;2013-05-12;902;0
644;2013;20;2013-05-19;541;4
645;2013;21;2013-05-26;401;7
646;2013;22;2013-06-02;286;11
647;2013;23;2013-06-09;164;3
648;2013;24;2013-06-16;115;0
649;2013;25;2013-06-23;114;2
650;2013;26;2013-06-30;109;1
651;2013;27;2013-07-07;74;0
652;2013;28;2013-07-14;53;1
653;2013;29;2013-07-21;40;1
654;2013;30;2013-07-28;41;0
655;2013;31;2013-08-04;16;1
656;2013;32;2013-08-11;22;0
657;2013;33;2013-08-18;19;1
658;2013;34;2013-08-25;10;1
659;2013;35;2013-09-01;14;0
660;2013;36;2013-09-08;6;0
661;2013;37;2013-09-15;9;0
662;2013;38;2013-09-22;16;0
663;2013;39;2013-09-29;4;0
664;2013;40;2013-10-06;14;1
665;2013;41;2013-10-13;10;0
666;2013;42;2013-10-20;6;0
667;2013;43;2013-10-27;12;0
668;2013;44;2013-11-03;10;0
669;2013;45;2013-11-10;15;0
670;2013;46;2013-11-17;7;0
671;2013;47;2013-11-24;7;0
672;2013;48;2013-12-01;9;0
673;2013;49;2013-12-08;16;0
674;2013;50;2013-12-15;17;0
675;2013;51;2013-12-22;11;0
676;2013;52;2013-12-29;6;0
677;2014;1;2014-01-05;0;0
678;2014;2;2014-01-12;26;0
679;2014;3;2014-01-19;36;0
680;2014;4;2014-01-26;27;0
681;2014;5;2014-02-02;32;1
682;2014;6;2014-02-09;23;1
683;2014;7;2014-02-16;23;1
684;2014;8;2014-02-23;24;0
685;2014;9;2014-03-02;27;0
686;2014;10;2014-03-09;11;0
687;2014;11;2014-03-16;9;1
688;2014;12;2014-03-23;21;1
689;2014;13;2014-03-30;18;2
690;2014;14;2014-04-06;15;0
691;2014;15;2014-04-13;16;0
692;2014;16;2014-04-20;21;0
693;2014;17;2014-04-27;23;0
694;2014;18;2014-05-04;19;1
695;2014;19;2014-05-11;17;1
696;2014;20;2014-05-18;10;0
697;2014;21;2014-05-25;19;0
698;2014;22;2014-06-01;17;0
699;2014;23;2014-06-08;8;0
700;2014;24;2014-06-15;18;1
701;2014;25;2014-06-22;15;1
702;2014;26;2014-06-29;8;0
703;2014;27;2014-07-06;12;0
704;2014;28;2014-07-13;6;2
705;2014;29;2014-07-20;10;0
706;2014;30;2014-07-27;12;0
707;2014;31;2014-08-03;5;0
708;2014;32;2014-08-10;8;0
709;2014;33;2014-08-17;7;0
710;2014;34;2014-08-24;14;0
711;2014;35;2014-08-31;5;0
712;2014;36;2014-09-07;9;0
713;2014;37;2014-09-14;17;0
714;2014;38;2014-09-21;17;1
715;2014;39;2014-09-28;16;0
716;2014;40;2014-10-05;25;1
717;2014;41;2014-10-12;20;4
718;2014;42;2014-10-19;14;4
719;2014;43;2014-10-26;16;1
720;2014;44;2014-11-02;10;2
721;2014;45;2014-11-09;18;0
722;2014;46;2014-11-16;10;3
723;2014;47;2014-11-23;18;5
724;2014;48;2014-11-30;15;4
725;2014;49;2014-12-07;21;3
726;2014;50;2014-12-14;10;1
727;2014;51;2014-12-21;5;0
728;2014;52;2014-12-28;8;0
729;2015;1;2015-01-04;0;0
730;2015;2;2015-01-11;16;2
731;2015;3;2015-01-18;8;0
732;2015;4;2015-01-25;16;2
733;2015;5;2015-02-01;16;0
734;2015;6;2015-02-08;22;2
735;2015;7;2015-02-15;19;2
736;2015;8;2015-02-22;27;1
737;2015;9;2015-03-01;47;0
738;2015;10;2015-03-08;65;0
739;2015;11;2015-03-15;83;2
740;2015;12;2015-03-22;102;2
741;2015;13;2015-03-29;113;1
742;2015;14;2015-04-05;165;9
743;2015;15;2015-04-12;262;2
744;2015;16;2015-04-19;234;2
745;2015;17;2015-04-26;349;3
746;2015;18;2015-05-03;370;3
747;2015;19;2015-05-10;303;1
748;2015;20;2015-05-17;320;3
749;2015;21;2015-05-24;264;2
750;2015;22;2015-05-31;276;3
751;2015;23;2015-06-07;276;2
752;2015;24;2015-06-14;235;1
753;2015;25;2015-06-21;232;3
754;2015;26;2015-06-28;141;0
755;2015;27;2015-07-05;129;0
756;2015;28;2015-07-12;97;0
757;2015;29;2015-07-19;100;1
758;2015;30;2015-07-26;110;1
759;2015;31;2015-08-02;82;0
760;2015;32;2015-08-09;59;1
761;2015;33;2015-08-16;68;0
762;2015;34;2015-08-23;42;0
763;2015;35;2015-08-30;46;1
