,WEEK_PRI,YEAR_PRI,1,2,3,4,NONE,TOTAL,OCURENCE_1,OCURENCE_2,OCURENCE_3,OCURENCE_4
935,8,2000,0.0,0.0,0.0,0.0,35.0,35.0,0,0,0,0
936,8,2001,0.0,0.0,0.0,0.0,213.0,213.0,0,0,0,0
937,8,2002,0.0,0.0,0.0,0.0,7377.0,7377.0,0,0,0,0
938,8,2003,0.0,0.0,0.0,0.0,32.0,32.0,0,0,0,0
939,8,2004,0.0,0.0,0.0,0.0,5.0,5.0,0,0,0,0
940,8,2005,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0,0
941,8,2006,0.0,0.0,0.0,0.0,87.0,87.0,0,0,0,0
119,8,2007,0.0,0.0,0.0,0.0,152.0,152.0,0,0,0,0
120,8,2008,0.0,5.0,0.0,0.0,1407.0,1412.0,0,1,0,0
121,8,2009,0.0,0.0,0.0,0.0,18.0,18.0,0,0,0,0
122,8,2010,0.0,1.0,0.0,0.0,29.0,30.0,0,1,0,0
123,8,2011,3.0,1.0,0.0,0.0,1786.0,1790.0,1,1,0,0
124,8,2012,3.0,0.0,0.0,21.0,516.0,540.0,1,0,0,1
125,8,2013,0.0,0.0,0.0,15.0,779.0,794.0,0,0,0,1
126,8,2014,0.0,0.0,0.0,0.0,24.0,24.0,0,0,0,0
127,8,2015,1.0,0.0,0.0,0.0,40.0,41.0,1,0,0,0
128,8,2016,4.0,0.0,0.0,0.0,87.0,91.0,1,0,0,0
129,8,2017,0.0,0.0,0.0,0.0,89.0,89.0,0,0,0,0
130,8,2018,1.0,0.0,0.0,0.0,86.0,87.0,1,0,0,0
131,8,2019,0.0,0.0,0.0,0.0,125.0,125.0,0,0,0,0
132,8,2020,0.0,0.0,0.0,0.0,44.0,44.0,0,0,0,0
133,8,2021,0.0,0.0,0.0,0.0,21.0,21.0,0,0,0,0
134,8,2022,1.0,2.0,0.0,0.0,29.0,32.0,1,1,0,0
135,8,2023,40.0,2.0,0.0,0.0,161.0,203.0,1,1,0,0
942,9,2000,0.0,0.0,0.0,0.0,23.0,23.0,0,0,0,0
